filer_cpf_id,year,total_expenditure
15031,2026,73727.62
15045,2023,0.97
15051,2023,74706.95
15051,2024,50536.07
15051,2025,46187.39
15051,2026,29139.76
15052,2023,13380.03
15055,2023,4783.35
15055,2024,10259.46
15055,2025,3705.69
15055,2026,189.94
15057,2023,36218.7
15057,2024,51721.91
15057,2025,16291.01
15059,2023,21002.46
15059,2024,2360.45
15059,2025,4659.7
15059,2026,1572.4
15060,2023,32343.55
15060,2024,32366.48
15060,2025,34185.14
15060,2026,18945.05
15061,2023,15711.88
15061,2024,7953.03
15061,2025,10800.0
15061,2026,167.74
15063,2023,18908.31
15063,2024,50179.25
15063,2025,30244.32
15063,2026,15501.56
15065,2024,23645.98
15066,2023,47692.41
15066,2024,8026.57
15066,2025,2134.44
15066,2026,324.0
15071,2023,9947.14
15071,2024,4169.81
15071,2025,3874.28
15071,2026,910.63
15082,2023,3138.27
15082,2024,2041.24
15082,2025,23871.17
15082,2026,853.98
15084,2023,169168.09
15084,2024,175176.46
15084,2025,172261.09
15084,2026,419381.3
15089,2023,2737.41
15089,2024,11393.33
15089,2025,52485.09
15092,2023,14391.17
15092,2025,8349.18
15092,2026,950.0
15093,2023,24709.21
15093,2024,51683.52
15093,2025,29977.24
15107,2023,8551.54
15107,2024,21407.52
15107,2025,36869.6
15107,2026,93479.54
15109,2023,383.18
15109,2024,451.0
15109,2025,105.19
15109,2026,113003.11
15114,2023,70.99
15114,2024,35.0
15114,2025,60.0
15114,2026,40.0
15123,2023,36301.33
15123,2024,43356.36
15123,2025,28821.59
15123,2026,44915.63
15128,2023,1562.05
15128,2024,1736.61
15128,2025,2350.5
15128,2026,74301.29
15129,2023,10654.23
15129,2024,5381.88
15129,2025,7447.45
15129,2026,5436.54
15131,2023,109.45
15131,2024,119.4
15131,2025,896.57
15132,2023,211.95
15132,2024,250.0
15132,2025,650.0
15142,2023,3013.57
15142,2024,29172.1
15142,2025,2796.26
15142,2026,1401.54
15158,2023,20621.79
15158,2024,15248.53
15158,2025,11795.13
15158,2026,11894.45
15168,2025,548.4
15174,2023,2708.52
15174,2024,8170.2
15174,2025,8146.28
15174,2026,11864.21
15177,2023,30244.88
15177,2024,41610.29
15177,2025,56546.78
15177,2026,36122.74
15201,2023,127.36
15211,2023,3.35
15218,2023,4477.45
15223,2023,100.0
15223,2024,13525.75
15223,2026,5467.14
15236,2024,20687.29
15236,2025,3276.42
15236,2026,6975.1
15262,2023,2490.29
15262,2025,16281.36
15262,2026,980.27
15264,2023,1450.0
15264,2024,2650.0
15264,2025,2200.0
15264,2026,1880.0
15268,2023,304938.76
15268,2024,408233.3
15268,2025,468429.57
15268,2026,256377.0
15277,2023,13055.74
15277,2024,11160.93
15277,2025,31869.42
15277,2026,6503.22
15280,2023,85124.59
15280,2024,28263.41
15280,2025,29254.42
15280,2026,5931.76
15295,2023,13892.95
15295,2024,48843.72
15295,2025,7286.3
15295,2026,213014.12
15297,2023,81404.47
15297,2024,130876.83
15297,2025,146602.01
15297,2026,200110.64
15300,2023,475.93
15300,2024,816.13
15300,2025,3884.86
15300,2026,777.13
15308,2023,21736.85
15308,2024,4960.82
15308,2025,17986.27
15308,2026,2721.91
15312,2023,6083.37
15312,2025,25052.17
15312,2026,200.0
15314,2025,389.85
15315,2023,90120.41
15315,2024,8613.71
15315,2025,3277.75
15315,2026,2789.56
15316,2023,5754.79
15316,2024,5943.69
15319,2023,7583.98
15319,2024,8076.75
15319,2025,8383.74
15319,2026,26629.0
15320,2023,21554.6
15320,2024,510.96
15320,2025,15493.8
15320,2026,293.25
15324,2023,63534.35
15324,2024,3800.0
15324,2025,384.65
15329,2023,191255.98
15329,2024,1907.99
15329,2025,29360.98
15329,2026,2067.86
15331,2026,1631.32
15333,2023,113615.26
15333,2024,3276.91
15333,2025,345893.57
15333,2026,11660.35
15350,2023,112.5
15350,2024,57.5
15357,2023,118471.84
15357,2024,5170.64
15357,2025,9207.37
15357,2026,4803.82
15359,2023,50494.07
15361,2023,28959.51
15361,2024,4013.35
15361,2025,851.98
15361,2026,14150.0
15364,2023,41127.39
15366,2023,20204.33
15366,2024,9965.0
15366,2025,3660.23
15366,2026,1356.78
15376,2023,6443.12
15376,2024,10319.14
15376,2025,6017.47
15376,2026,11137.02
15392,2023,200.67
15392,2024,10833.33
15392,2025,1003.31
15392,2026,340.69
15395,2025,202.0
15395,2026,20.0
15409,2023,2556.81
15409,2024,466.93
15409,2025,1612.17
15409,2026,321.59
15421,2023,1236.94
15421,2024,28861.47
15421,2025,9695.0
15422,2023,8864.59
15422,2024,30.0
15422,2025,125.0
15423,2026,100.0
15426,2023,2762.74
15426,2024,7725.0
15426,2025,50.0
15426,2026,100.0
15429,2023,10538.79
15429,2024,59122.26
15429,2025,21953.96
15429,2026,7467.14
15430,2023,375.0
15430,2024,785.06
15431,2024,2876.93
15431,2025,192.0
15431,2026,60.0
15432,2023,17310.69
15432,2024,116060.87
15432,2025,8908.26
15432,2026,16843.89
15442,2023,284.27
15444,2023,1113.88
15444,2024,537.72
15444,2025,14578.25
