cmte_id,total_amount,total_count
C00299404,3901.5,5
C00299701,4563.8,4
C00300236,3492.0,27
C00300376,4831.0,6
C00300426,446.02,1
C00300707,4193.45,61
C00300731,49441.92,113
C00300921,1257723.56,1164
C00302232,9316.33,17
C00302240,2650.14,14
C00302695,1180.11,15
C00302844,4358.0,2
C00303024,418444.36,34
C00303305,480658.62,246
C00303339,193827.91,123
C00303883,500.0,2
C00304477,748.0,2
C00304634,991.4,13
C00304709,1084622.37,862
C00304832,5299.0,1
C00305318,1567750.93,452
C00305805,51194.75,23
C00306035,31280.81,33
C00306175,301.0,8
C00306449,15655.67,78
C00306860,37524.01,9
C00306894,9192.75,105
C00307314,16342.7,28
C00307991,441.12,47
C00308387,4123.86,1
C00308478,10822.69,35
C00308676,1860645.05,951
C00308742,3701386.71,492
C00309567,268017.46,1874
C00310532,48697.62,27
C00311043,24410.11,57
C00311142,18520.66,7
C00311308,698.0,12
C00311639,1643618.15,448
C00311878,145.3,1
C00311944,69003.0,25
C00312017,10021.32,23
C00312223,253.78,8
C00312785,295.7,8
C00313247,836355.35,331
C00313510,160985.39,44
C00313700,7531.17,16
C00314575,7185059.0,938
C00314617,22502.34,81
C00314997,587.33,4
C00318196,750.0,1
C00318766,200.0,1
C00320218,8916.05,19
C00320432,24467.04,103
C00321943,316162.48,399
C00322768,11499.66,33
C00323048,1680.15,23
C00323352,282520.53,175
C00323923,29886.17,273
C00324483,151054.05,117
C00324780,147.97,1
C00325076,249133.45,294
C00325092,2190.22,17
C00325324,1071.39,45
C00325332,26891.37,418
C00325357,15000.0,7
C00325464,93958.36,9
C00325639,7010.7,14
C00325647,1799.96,3
C00325936,11752.56,79
C00326009,1283.66,5
C00326132,609.6,9
C00326363,4069571.58,929
C00326389,1222.28,3
C00326439,806459.91,385
C00326751,7553.17,33
C00326801,2008039.13,1171
C00326835,17401.02,19
C00327023,697210.28,367
C00327106,64005.02,48
C00327189,275418.51,35
C00327478,9900.68,41
C00327593,84484.28,9
C00328211,35450.74,53
C00328278,104.9,1
C00328369,1114.83,10
C00328401,843.81,4
C00329185,513.3,4
C00329425,1159.76,19
C00330118,14007.65,37
C00330142,2055633.69,807
C00330233,3078.06,7
C00330647,250.0,1
C00330696,13445.37,12
C00330720,14268.56,8
C00330886,662354.2,537
C00331314,4370.16,46
C00331397,687869.57,468
C00331454,580.11,3
C00331686,128.4,1
C00331694,397853.36,193
C00331918,3400.0,14
C00332221,1869.99,8
C00332296,155750.06,39
C00332841,2332.9,18
C00333427,59535.65,100
C00334383,23356.42,28
