spender_id,total_amount,total_count
C90020959,6500.0,2
C90020967,15940.0,6
C90021171,505000.0,4
C90021197,35645.33,3
C90021262,26500.0,1
C90021270,17000.0,2
C90021288,278438.24,1
C90021304,115082.7,26
C90021312,12835.11,3
C90021320,57602.2,2
C90021338,9065.35,2
C90021353,1053763.35,18
C90021361,520.65,1
C90021379,4653.45,1
C90021411,1582.85,1
C90021452,1941926.28,128
C90021478,153102.22,8
C90021486,2500.0,1
C90021494,2500.0,1
C90021502,16729.32,12
C90021510,433964.19,6
C90021536,188093.48,8
C90021544,10000.0,1
C90021551,515812.04,15
C90021569,48595.0,2
C90021577,55967.88,7
C90021593,228730.0,2
C90021619,23377.55,32
C90021627,82175.0,2
C90021643,113654.82,16
C90021668,14772.5,73
C90021676,200000.0,1
C90021700,191463.94,25
C90021718,958625.0,5
C90021726,27550.66,23
C90021742,385000.0,4
C90021767,29042.0,9
C90021775,28050.0,2
C90021783,25000.0,2
C90021791,29905.42,10
C90021809,252903.24,6
C90021817,8176.88,1
C90021825,25000.0,4
C90021833,17789.0,4
C90021858,43230.56,3
C90021866,3359.2,1
C90021874,29666.66,2
C90021882,41339.82,17
C90021890,50385.12,69
C90021916,4000.0,2
C90021924,4094.0,1
